Question,Answer,Class,Profile,Profile_fr,Profile_ar,Class_fr,Class_ar,Question_fr,Question_ar,Answer_fr,Answer_ar
document required opening current account sole proprietorship firm,following documents are required to open a current account of a sole proprietorship entity: proof of existence in the name of firm proof of address in the name of firm kyc of the proprietor any two of the below listed documents shall be obtained for establishing proof of existence. registration certificate/license issued by municipal authorities such as shop & establishment certificate/trade license cst/vat/service tax certificate or letter of registration for cst/vat/service tax certificate/registration document issued by professional tax authorities valid business license or certificate of registration issued by state/central government authority (validity would include the grace period for renewal as mentioned in the certificate) rbi/sebi registration certificate license issued by food and drug control authorities import - export certificate (iec code) issued by the director general of foreign trade documents for establishing proof of address landline telephone bill/electricity bill of public & approved private operators in the state. (bills not to be older than 4 months from the date of account opening) property ownership deed i.e. title deeds of the property in the name of the firm duly stamped and registered tan allotment letter issued in the name of the firm latest property tax or water tax paid receipt/bill raised in the name of the firm existing bank account statement or passbook of a psu/private sector/foreign bank. statement not older than 4 months from the date of account opening to be accepted ** this is only indicative list. please visit your nearest branch for details view more,accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,document requis ouverture compte courant entreprise propriétaire unique,الوثيقة المطلوبة لفتح الحساب الجاري,"les documents suivants sont requis pour ouvrir un compte courant d'une entité à propriétaire unique: la preuve de l'existence au nom de la preuve ferme de l'adresse au nom de la firme kyc du propriétaire est obtenue pour la preuve de l'existence de deux des documents énumérés ci-dessous. certificat d'enregistrement/licence délivrée par les autorités municipales, par exemple certificat de magasin et d'établissement / licence de commerce cst/vat/service tax certificat ou lettre d'enregistrement pour cst/vat/service tax certificat/document d'enregistrement délivré par les autorités fiscales professionnelles licence professionnelle valide ou certificat d'enregistrement délivré par l'autorité de l'État/administration centrale (la validité comprendrait le délai de grâce pour le renouvellement tel que mentionné dans le certificat) certificat d'enregistrement rbi/sebi délivré par les autorités de contrôle des aliments et des drogues importation - certificat d'exportation (code iec) délivré par le directeur général des documents de commerce extérieur pour l'établissement de la preuve d'adresse lettre de téléphone fixe / facture d'électricité des opérateurs privés agréés dans l'État. (les factures ne doivent pas être supérieures à 4 mois à compter de la date d'ouverture du compte) acte de propriété, c'est-à-dire titres de propriété du bien au nom de l'entreprise dûment estampillé et recommandé lettre d'attribution de tan émise au nom de l'entreprise dernière taxe foncière ou taxe sur l'eau payé reçu / facture soulevée au nom de l'entreprise compte bancaire existant ou livret d'un psu/secteur privé/banque étrangère. l'état au plus tard 4 mois après la date d'ouverture du compte à accepter ** cette liste n'est que indicative. Veuillez visiter votre succursale la plus proche pour plus de détails",ويُطلب من الوثائق التالية فتح حساب حالي للكيان الوحيد الممتلك: إثبات وجود عنوان باسم شركة كيك للمالك أي من الوثائق المدرجة أدناه للحصول على دليل على وجودها. شهادة تسجيل/رخصة صادرة عن سلطات بلدية مثل شهادة إنشاء المتاجر/رخصة التجارة cst/vat/service tax certificate or letter of registration for cst/vat/service tax certificate/registration document issued by professional tax authorities valid business license or certificate of registration issued by state/central government authority (validity would include the Grace period for renewal as mentioned in the certificate) rbi/sebi-sebi registration certificate issued by food and drug control (يلزم ألا تكون أكبر من 4 أشهر من تاريخ فتح الحساب) سند ملكية الممتلكات، أي سندات ملكية الممتلكات باسم الشركة التي خُتمت على النحو الواجب وسجلت رسالة تخصيص للدبابات الصادرة باسم آخر ضريبة على الممتلكات أو ضريبة المياه التي دفعتها الشركة، أو التي أُثيرت باسم بيان الحساب المصرفي الموجود لدى الشركة، أو دفتر مروري لشركة سو/قطاع خاص/مصرف أجنبي. البيان الذي لا يتجاوز أربعة أشهر من تاريخ فتح الحساب المقرر قبوله ** هذه قائمة إرشادية فقط. يرجى زيارة أقرب فرع لك للحصول على التفاصيل
transfer current account one branch another,"yes, current accounts can be transferred from one branch to another. however, there are certain restrictions. please visit your nearest branch for details.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,transférer le compte courant une branche une autre,الحساب الجاري,"Oui, les comptes courants peuvent être transférés d'une succursale à une autre. Toutefois, certaines restrictions existent. Veuillez visiter votre succursale la plus proche pour plus de détails.",نعم، يمكن تحويل الحسابات الجارية من فرع إلى فرع آخر. غير أن هناك بعض القيود. يرجى زيارة أقرب فرع للتفاصيل.
present status nri extra document required opening sole proprietorship current account,nri/pio can open the proprietorship/partnership firm subject to following customer declaration (which needs to be taken from the customer): amount is invested by inward remittance or out of nre/fcnr/nro account maintained with ad bank (from the current account of the customer). the firm or proprietary concern is not engaged in any agricultural/plantation or real estate business (i.e. dealing in land and immovable property with a view to earning profit or earning income there from) or print media sector. amount invested shall not be eligible for repatriation outside india. the above should be clearly mentioned in the declarations given by the customer. view more,accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,présent statut nri extra document requis ouverture de la propriété individuelle compte courant,وثيقة إضافية من طراز nri,"nri/pio peut ouvrir l'entreprise propriétaire/partenariat sous réserve de la déclaration suivante du client (qui doit être prise du client): le montant est investi par remise à l'intérieur ou sur le compte nre/fcnr/nro tenu avec la banque publicitaire (du compte courant du client). l'entreprise ou la propriété n'exerce aucune activité agricole, foncière ou immobilière (c'est-à-dire le commerce de terrains et de biens immobiliers en vue de gagner des profits ou des revenus de ce secteur) ou de la presse écrite. le montant investi n'est pas admissible au rapatriement en dehors de l'Inde. les déclarations ci-dessus doivent être clairement mentionnées dans les déclarations du client. voir plus",ويمكن أن تفتح شركة نيري/بيو شركة الامتلاك/الشركات رهناً بالإعلان التالي للزبائن (الذي يتعين أخذه من الزبون): يستثمر المبلغ عن طريق التحويل الداخلي أو من حساب نقري/فرو/نروي يحتفظ به مع مصرف مخصص (من الحساب الحالي للزبون). ولا يشارك شاغل الشركة أو الملكية في أي أعمال زراعية أو زراعية أو عقارية (أي التعامل في الأراضي والممتلكات غير المنقولة بهدف كسب الربح أو كسب الدخل من) أو في قطاع وسائط الإعلام المطبوعة. ولا يحق للمبلغ المستثمر العودة إلى الوطن خارج الهند. وينبغي الإشارة بوضوح إلى ما سبق في الإعلانات الصادرة عن العميل. مزيد من النظر
document required opening current account limited liability partnership,"following documents are required for opening a current account of limited liability partnership: incorporation document, limited liability partnership agreement certificate of incorporation list of all existing designated partners of llp along with designated partner identification number (dpin) issued by the central government resolution passed at the meeting of designated partners for the particular relationship, which the llp plans to have with the bank kyc of designated partners/authorised signatories view more",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,document requis ouverture compte courant société à responsabilité limitée,الوثيقة المطلوبة لفتح الحساب الجاري,"les documents suivants sont requis pour l'ouverture d'un compte courant de société de personnes à responsabilité limitée: document de constitution, certificat de convention de société de personnes à responsabilité limitée de la liste de tous les associés désignés existants de llp ainsi que le numéro d'identification de l'associé désigné (dpin) émis par la résolution du gouvernement central adoptée lors de la réunion des associés désignés pour la relation particulière, que llp prévoit d'avoir avec la banque kyc des partenaires désignés/signés voir plus",من المطلوب الحصول على الوثائق التالية لفتح حساب حالي للشراكة المحدودة في مجال المسؤولية: وثيقة التأسيس، والقائمة المحدودة لاتفاق الشراكة بشأن المسؤولية لجميع الشركاء المعينين في اللباب، إلى جانب رقم تحديد هوية الشركاء المعين (الدب) الصادر عن قرار الحكومة المركزية الذي صدر في اجتماع الشركاء المعينينين للعلاقة المعينة، والتي ترى خطط اللباب أن لها مع مصرف كيك من الشركاء المعينينينينينينين/الموقعين المعتمدين مزيدا من الآراء
document required change address entity,following documents are required to change the address of an entity:request letter for address change signed by the proprietor/partner/authorised signatory (in case of a company)along with following list of documents: landline telephone bill/electricity bill of public and approved private operators in the state. (bills not to be older than 4 months from the date of account opening) property ownership deed i.e. the title deeds of the property in the name of the firm duly stamped and registered tan allotment letter issued in the name of the firm latest property tax or water tax paid receipt/bill raised in the name of the firm existing bank account statement or passbook of a psu/private sector /foreign bank. (statement not older than 4 months from the date of account opening to be accepted; ** this is only an indicative list. please visit your nearest branch for details view more,accounts,other,autres,أخرى,comptes,الحسابات,document requis changement adresse entité,وثيقة التغيير المطلوبة,"les documents suivants sont requis pour modifier l'adresse d'une entité:lettre de demande de changement d'adresse signée par le propriétaire/partenaire/signateur autorisé (dans le cas d'une entreprise)avec la liste suivante de documents: facture de téléphone fixe/facture d'électricité des opérateurs privés publics et agréés dans l'État. (les titres de propriété ne doivent pas être âgés de plus de 4 mois à compter de la date d'ouverture du compte) acte de propriété, c'est-à-dire les titres de propriété du bien au nom de l'entreprise dûment estampillé et la lettre d'attribution de tan enregistrée émise au nom de l'entreprise la plus récente taxe foncière ou taxe sur l'eau payée reçu/bill augmenté au nom de l'entreprise le relevé de compte bancaire existant ou le livret d'une banque extérieure. (état au plus tard quatre mois après la date d'ouverture du compte à accepter; ** il ne s'agit que d'une liste indicative. Veuillez visiter votre succursale la plus proche pour plus de détails",ويُطلب من الوثائق التالية تغيير عنوان الكيان: طلب تغيير العنوان الذي وقعه مالكه/شريكه/موقّع عليه (في حالة شركة) إلى جانب قائمة الوثائق التالية: مشروع قانون الهاتف البري/مشروع قانون الكهرباء للمشغلين من القطاعين العام والخاص المعتمدين في الدولة. (يلزم ألا تكون أكبر من 4 أشهر من تاريخ فتح الحساب) سند ملكية الممتلكات، أي سندات ملكية الممتلكات باسم الشركة التي خُتمت على النحو الواجب وسجلت رسالة تخصيص للدبابات صادرة باسم آخر ضريبة على الممتلكات أو ضريبة على المياه التي دفعت أو أُثيرت باسم بيان الحساب المصرفي الموجود لدى الشركة، أو دفتر مروري لمؤسسة تجارية تابعة للقطاع الخاص/مصرف أجنبي. (بيان لا يتجاوز 4 أشهر من تاريخ فتح الحساب المقرر قبوله؛ ** هذه قائمة إرشادية فقط. يرجى زيارة أقرب فرع لك للحصول على التفاصيل
document required opening current account company,following documents are required for opening current account of a company: private limited companies - memorandum of association (moa) - articles of association (aoa) - certificate of incorporation - latest list of directors duly signed by any director/company secretary /authorised signatory - board resolution (br) duly signed by the directors of the company. limited companies - memorandum of association (moa) - articles of association (aoa) - certificate of incorporation - certificate of commencement of business - latest list of directors duly signed by any director/company secretary/authorised signatory - board resolution (br) duly signed by the directors/company secretary of the company view more,accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,document requis ouverture de compte courant société,الوثيقة المطلوبة,les documents suivants sont requis pour l'ouverture du compte courant d'une société: sociétés anonymes privées - note d'association (moa) - statuts (aoa) - certificat de constitution - dernière liste des administrateurs dûment signée par tout administrateur/secrétaire d'entreprise / signataire autorisé - résolution du conseil (br) dûment signée par les administrateurs de la société. sociétés anonymes - note d'association (moa) - statuts (aoa) - certificat de constitution - certificat de création d'entreprise - dernière liste d'administrateurs dûment signée par tout administrateur/secrétaire d'entreprise/ signataire autorisé - résolution du conseil (br) dûment signée par les administrateurs/secrétaire d'entreprise de la société voir plus,وتشترط الوثائق التالية لفتح الحساب الجاري لشركة ما: الشركات المحدودة الخاصة - مذكرة الارتباط (moa) - مواد تكوين الجمعيات (aoa) - شهادة التأسيس - آخر قائمة بالمديرين موقعة حسب الأصول من قبل أي مدير/سكرتير/موقع مرخص - قرار مجلس الإدارة (بر) موقع حسب الأصول من مديري الشركة. الشركات المحدودة - مذكرة تكوين الجمعيات (moa) - مواد تكوين الجمعيات (aoa) - شهادة التأسيس - شهادة بدء العمل - آخر قائمة بالمديرين موقعة حسب الأصول من قبل أي مدير/سكرتير/موقع مرخص - قرار مجلس الإدارة (بر) الذي وقعه على النحو الواجب المديرون/أمين الشركة
partner partnership firm,"partners must be major (above the age of 18), should be sane and should not be disqualified by law from entering into a contract.",accounts,other,autres,أخرى,comptes,الحسابات,société de partenariat partenaire,مؤسسة الشراكة الشريكة,"Les partenaires doivent être majeurs (au-dessus de l'âge de 18 ans), sains d'esprit et ne pas être disqualifiés par la loi de la conclusion d'un contrat.",ويجب أن يكون الشركاء كباراً (فوق سن 18 عاماً)، وينبغي أن يكونوا عاقلين وألا يحرمهم القانون من الدخول في عقد.
time taken realize outstation cheque,"the indicative time taken for the realization of outstation cheques is given below: cheques drawn where m&n bank has a branch, credit will be given on receipt of clear funds in: main metro locations (mumbai, chennai, kolkata, new delhi): 7 working days metro centers and state capitals (other than those of north eastern states and sikkim): maximum period of 10 working days. in all other centres where we have branches: maximum period of 14 working days. cheques drawn on non-branch locations where we have a tie-up with correspondent banks, credit will be given on receipt of clear funds: within a maximum period of 14 working days cheques drawn on non-branch locations where we do not have a tie-up with correspondent banks, credit will be given on receipt of clear funds: within a maximum period of 14 working days for more details on the outstation cheque collection policy, click here. for other queries, contact us. view more",accounts,other,autres,أخرى,comptes,الحسابات,temps pris réaliser chèque de sortie,الوقت الذي يستغرقه إدراك الشيك,"le délai indicatif de réalisation des chèques de départ est indiqué ci-dessous: chèques tirés où la banque centrale a une succursale, crédit sera donné à la réception de fonds clairs dans: principaux lieux de métro (mumbai, chenni, kolkata, new delhi): 7 jours ouvrables centres de métro et capitales d'État (autres que ceux des États du nord-est et du sikkim): durée maximale de 10 jours ouvrables. dans tous les autres centres où nous avons des succursales: durée maximale de 14 jours ouvrables. les chèques tirés sur des sites autres que les succursales où nous avons un lien avec les banques correspondantes, le crédit sera accordé à la réception de fonds clairs: dans un délai maximum de 14 jours ouvrables les chèques tirés sur des sites autres que les succursales où nous n'avons pas de lien avec les banques correspondantes, le crédit sera accordé à la réception de fonds clairs: dans un délai maximum de 14 jours ouvrables pour plus de détails sur la politique de recouvrement des chèques de poste, cliquez ici. pour d'autres questions, contactez-nous. voir plus",ويرد أدناه الوقت الإرشادي الذي يستغرقه وضع الشيكات الخارجية: تسحب الشيكات التي يكون فيها للمصرف فرعا، وتُمنح الائتمانات عند استلام أموال واضحة في المواقع الرئيسية للمترو (مومباي، شناي، كولكاتا، ديلهي): 7 أيام عمل للمراكز المتروية وعواصم الولايات (غير تلك الموجودة في الولايات الشرقية الشمالية وسيككيم): فترة أقصاها 10 أيام عمل. في جميع المراكز الأخرى التي يوجد فيها فروع: مدة أقصاها 14 يوم عمل. وتُمنح الشيكات التي تُسحب على المواقع غير المكتبية التي تربطنا بها مصارف مراسلة، ائتمانا على استلام أموال واضحة: في غضون فترة أقصاها 14 يوما من أيام العمل يُسحب فيها الشيكات على المواقع غير المكتبية التي لا يكون لدينا فيها ترابط مع المصارف المراسلة، تُمنح اعتمادات عند استلام أموال واضحة: في غضون فترة أقصاها 14 يوما من أيام العمل للحصول على مزيد من التفاصيل بشأن سياسة تحصيل الشيكات، نقر هنا. للاستفسارات الأخرى، اتصل بنا مزيد من النظر
individual open current account,"yes. documentation will be that of an individual, i.e. identity proof and address proof.click here for documentation required for opening individual a current account.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,compte courant ouvert individuel,الحساب الجاري المفتوح,"Oui. la documentation sera celle d'une personne, c'est-à-dire une preuve d'identité et d'adresse. cliquez ici pour la documentation nécessaire pour ouvrir un compte courant individuel.",نعم، الوثائق ستكون من وثائق الفرد، أي إثبات الهوية وإثبات العنوان. نقر هنا للاطلاع على الوثائق اللازمة لفتح حساب حالي لكل فرد.
eefc account opened special economic zone sez unit,"no, sez units cannot open eefc accounts.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,Compte eefc ouvert zone économique spéciale unité,Eefc account opened special economic zone sez unit,"Non, les unités sez ne peuvent pas ouvrir de comptes eefc.",لا، وحدات العطس لا يمكنها فتح حسابات (إيفك)
